BirdID,Level,SlideNum,SlideID,ROI,Condition,SongID,Area,Mean,StdDev,Min,Max,Median,Skew,Kurt,WholeMed
313,lateral,9A,i1j2_1.tif,whole,NoGo,61,26316935.471,195.763,25.155,15,255,202,-2.586,7.022,202
4275,lateral,2B,i1j2.tif,l,NoGo,143,114805.746,210.245,11.911,46,253,212,0.149,-36.343,210
4275,lateral,2B,i1j2.tif,cmm,NoGo,143,359818.723,201.858,23.231,20,252,208,-2.995,8.805,210
4275,lateral,2B,i1j2.tif,dncm,NoGo,143,360026.628,203.945,22.488,24,254,209,-3.16,9.667,210
4275,lateral,2B,i1j2.tif,vncm,NoGo,143,360099.23,204.752,20.728,17,252,209,-3.281,11.662,210
4275,lateral,2B,i1j2.tif,cncm,NoGo,143,359927.626,208.212,19.068,22,253,212,-3.004,-3.735,210
4275,lateral,2B,i1j2.tif,whole,NoGo,143,21953509.427,206.041,18.471,13,255,210,-3.489,10.37,210
4479,lateral,9A,i1j2.tif,l,NoGo,808,114823.071,197.35,14.156,41,250,199,-2.251,15.896,193
4479,lateral,9A,i1j2.tif,cmm,NoGo,808,359564.617,182.548,29.507,20,241,192,-2.509,7.068,193
4479,lateral,9A,i1j2.tif,dncm,NoGo,808,360029.103,189.328,26.586,17,251,196,-2.809,9.7,193
4479,lateral,9A,i1j2.tif,vncm,NoGo,808,359967.227,189.051,26.196,19,251,195,-2.89,10.81,193
4479,lateral,9A,i1j2.tif,cncm,NoGo,808,360402.838,190.175,28.163,16,252,197,-2.726,9.274,193
4479,lateral,9A,i1j2.tif,whole,NoGo,808,23336630.941,186.299,27.135,8,254,193,-2.523,8.049,193
294,lateral,1A,i1j2.tif,l,Novel,65,114773.57,207.362,12.002,90,253,208,5.57,-160.087,207
294,lateral,1A,i1j2.tif,cmm,Novel,65,360251.034,198.155,23.168,30,253,203,-2.033,-0.125,207
294,lateral,1A,i1j2.tif,dncm,Novel,65,359973.827,202.517,19.49,41,252,206,-2.504,0.759,207
